Maximum,60.2,@,No.1980,,,,,,
Minimum,-0.1,@,No.15,,,,,,
Average,32.18,,,,,,,,
Data Quantity,2200,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,0.3,gf,0.002,mm,OK,--,3:15:22 PM,4/11/2026,
2,-0.1,gf,0.003,mm,OK,--,3:15:22 PM,4/11/2026,
3,0.5,gf,0.005,mm,OK,--,3:15:22 PM,4/11/2026,
4,0.9,gf,0.006,mm,OK,--,3:15:22 PM,4/11/2026,
5,1.2,gf,0.008,mm,OK,--,3:15:22 PM,4/11/2026,
6,1.3,gf,0.010,mm,OK,--,3:15:22 PM,4/11/2026,
7,0.3,gf,0.011,mm,OK,--,3:15:22 PM,4/11/2026,
8,0.4,gf,0.013,mm,OK,--,3:15:22 PM,4/11/2026,
9,1.4,gf,0.014,mm,OK,--,3:15:22 PM,4/11/2026,
10,1.7,gf,0.016,mm,OK,--,3:15:22 PM,4/11/2026,
11,1.2,gf,0.018,mm,OK,--,3:15:22 PM,4/11/2026,
12,1.8,gf,0.019,mm,OK,--,3:15:22 PM,4/11/2026,
13,2.2,gf,0.021,mm,OK,--,3:15:22 PM,4/11/2026,
14,1.2,gf,0.022,mm,OK,--,3:15:22 PM,4/11/2026,
15,2.1,gf,0.024,mm,OK,--,3:15:22 PM,4/11/2026,
16,1.7,gf,0.025,mm,OK,--,3:15:22 PM,4/11/2026,
17,2.4,gf,0.027,mm,OK,--,3:15:22 PM,4/11/2026,
18,2.1,gf,0.029,mm,OK,--,3:15:22 PM,4/11/2026,
19,2.0,gf,0.030,mm,OK,--,3:15:22 PM,4/11/2026,
20,2.0,gf,0.032,mm,OK,--,3:15:22 PM,4/11/2026,
21,2.2,gf,0.033,mm,OK,--,3:15:22 PM,4/11/2026,
22,3.2,gf,0.035,mm,OK,--,3:15:22 PM,4/11/2026,
23,2.9,gf,0.037,mm,OK,--,3:15:22 PM,4/11/2026,
24,2.8,gf,0.038,mm,OK,--,3:15:22 PM,4/11/2026,
25,3.1,gf,0.040,mm,OK,--,3:15:22 PM,4/11/2026,
26,3.6,gf,0.041,mm,OK,--,3:15:22 PM,4/11/2026,
27,3.5,gf,0.043,mm,OK,--,3:15:22 PM,4/11/2026,
28,4.1,gf,0.045,mm,OK,--,3:15:22 PM,4/11/2026,
29,3.1,gf,0.046,mm,OK,--,3:15:22 PM,4/11/2026,
30,4.4,gf,0.048,mm,OK,--,3:15:22 PM,4/11/2026,
31,3.5,gf,0.049,mm,OK,--,3:15:22 PM,4/11/2026,
32,4.1,gf,0.051,mm,OK,--,3:15:22 PM,4/11/2026,
33,4.4,gf,0.052,mm,OK,--,3:15:22 PM,4/11/2026,
34,4.2,gf,0.054,mm,OK,--,3:15:22 PM,4/11/2026,
35,4.5,gf,0.056,mm,OK,--,3:15:22 PM,4/11/2026,
36,4.9,gf,0.057,mm,OK,--,3:15:22 PM,4/11/2026,
37,5.1,gf,0.059,mm,OK,--,3:15:22 PM,4/11/2026,
38,5.2,gf,0.060,mm,OK,--,3:15:22 PM,4/11/2026,
39,5.4,gf,0.062,mm,OK,--,3:15:22 PM,4/11/2026,
40,4.9,gf,0.064,mm,OK,--,3:15:22 PM,4/11/2026,
41,5.0,gf,0.065,mm,OK,--,3:15:22 PM,4/11/2026,
42,5.9,gf,0.067,mm,OK,--,3:15:22 PM,4/11/2026,
43,5.2,gf,0.068,mm,OK,--,3:15:22 PM,4/11/2026,
44,6.2,gf,0.070,mm,OK,--,3:15:22 PM,4/11/2026,
45,5.7,gf,0.072,mm,OK,--,3:15:22 PM,4/11/2026,
46,6.4,gf,0.073,mm,OK,--,3:15:22 PM,4/11/2026,
47,6.5,gf,0.075,mm,OK,--,3:15:22 PM,4/11/2026,
48,5.7,gf,0.076,mm,OK,--,3:15:22 PM,4/11/2026,
49,6.0,gf,0.078,mm,OK,--,3:15:22 PM,4/11/2026,
50,6.5,gf,0.080,mm,OK,--,3:15:22 PM,4/11/2026,
51,6.6,gf,0.081,mm,OK,--,3:15:22 PM,4/11/2026,
52,6.8,gf,0.083,mm,OK,--,3:15:22 PM,4/11/2026,
53,6.7,gf,0.084,mm,OK,--,3:15:22 PM,4/11/2026,
54,7.0,gf,0.086,mm,OK,--,3:15:22 PM,4/11/2026,
55,7.3,gf,0.088,mm,OK,--,3:15:22 PM,4/11/2026,
56,7.0,gf,0.089,mm,OK,--,3:15:22 PM,4/11/2026,
57,6.9,gf,0.091,mm,OK,--,3:15:22 PM,4/11/2026,
58,7.1,gf,0.092,mm,OK,--,3:15:22 PM,4/11/2026,
59,7.8,gf,0.094,mm,OK,--,3:15:22 PM,4/11/2026,
60,7.2,gf,0.095,mm,OK,--,3:15:22 PM,4/11/2026,
61,8.3,gf,0.097,mm,OK,--,3:15:22 PM,4/11/2026,
62,7.4,gf,0.099,mm,OK,--,3:15:22 PM,4/11/2026,
63,7.9,gf,0.100,mm,OK,--,3:15:22 PM,4/11/2026,
64,8.1,gf,0.102,mm,OK,--,3:15:22 PM,4/11/2026,
65,8.6,gf,0.103,mm,OK,--,3:15:22 PM,4/11/2026,
66,8.9,gf,0.105,mm,OK,--,3:15:22 PM,4/11/2026,
67,8.1,gf,0.107,mm,OK,--,3:15:22 PM,4/11/2026,
68,8.9,gf,0.108,mm,OK,--,3:15:22 PM,4/11/2026,
69,8.5,gf,0.110,mm,OK,--,3:15:22 PM,4/11/2026,
70,9.4,gf,0.111,mm,OK,--,3:15:22 PM,4/11/2026,
71,8.7,gf,0.113,mm,OK,--,3:15:22 PM,4/11/2026,
72,8.9,gf,0.115,mm,OK,--,3:15:22 PM,4/11/2026,
73,9.5,gf,0.116,mm,OK,--,3:15:22 PM,4/11/2026,
74,9.7,gf,0.118,mm,OK,--,3:15:22 PM,4/11/2026,
75,9.3,gf,0.119,mm,OK,--,3:15:22 PM,4/11/2026,
76,9.6,gf,0.121,mm,OK,--,3:15:22 PM,4/11/2026,
77,9.4,gf,0.123,mm,OK,--,3:15:22 PM,4/11/2026,
78,10.4,gf,0.124,mm,OK,--,3:15:22 PM,4/11/2026,
79,10.2,gf,0.126,mm,OK,--,3:15:22 PM,4/11/2026,
80,9.7,gf,0.127,mm,OK,--,3:15:22 PM,4/11/2026,
81,10.5,gf,0.129,mm,OK,--,3:15:22 PM,4/11/2026,
82,10.2,gf,0.130,mm,OK,--,3:15:22 PM,4/11/2026,
83,10.1,gf,0.132,mm,OK,--,3:15:22 PM,4/11/2026,
84,10.4,gf,0.134,mm,OK,--,3:15:22 PM,4/11/2026,
85,10.9,gf,0.135,mm,OK,--,3:15:22 PM,4/11/2026,
86,11.0,gf,0.137,mm,OK,--,3:15:22 PM,4/11/2026,
87,11.3,gf,0.138,mm,OK,--,3:15:22 PM,4/11/2026,
88,11.5,gf,0.140,mm,OK,--,3:15:22 PM,4/11/2026,
89,11.1,gf,0.142,mm,OK,--,3:15:22 PM,4/11/2026,
90,11.5,gf,0.143,mm,OK,--,3:15:22 PM,4/11/2026,
91,11.6,gf,0.145,mm,OK,--,3:15:22 PM,4/11/2026,
92,11.3,gf,0.146,mm,OK,--,3:15:22 PM,4/11/2026,
93,11.6,gf,0.148,mm,OK,--,3:15:22 PM,4/11/2026,
94,12.1,gf,0.150,mm,OK,--,3:15:22 PM,4/11/2026,
95,11.6,gf,0.151,mm,OK,--,3:15:22 PM,4/11/2026,
96,12.7,gf,0.153,mm,OK,--,3:15:22 PM,4/11/2026,
97,12.0,gf,0.154,mm,OK,--,3:15:22 PM,4/11/2026,
98,12.6,gf,0.156,mm,OK,--,3:15:22 PM,4/11/2026,
99,12.5,gf,0.158,mm,OK,--,3:15:22 PM,4/11/2026,
100,12.7,gf,0.159,mm,OK,--,3:15:22 PM,4/11/2026,
101,13.1,gf,0.161,mm,OK,--,3:15:22 PM,4/11/2026,
102,13.2,gf,0.162,mm,OK,--,3:15:22 PM,4/11/2026,
103,12.8,gf,0.164,mm,OK,--,3:15:22 PM,4/11/2026,
104,12.7,gf,0.165,mm,OK,--,3:15:22 PM,4/11/2026,
105,13.4,gf,0.167,mm,OK,--,3:15:22 PM,4/11/2026,
106,13.4,gf,0.169,mm,OK,--,3:15:22 PM,4/11/2026,
107,14.1,gf,0.170,mm,OK,--,3:15:22 PM,4/11/2026,
108,14.2,gf,0.172,mm,OK,--,3:15:22 PM,4/11/2026,
109,14.5,gf,0.173,mm,OK,--,3:15:22 PM,4/11/2026,
110,13.5,gf,0.175,mm,OK,--,3:15:22 PM,4/11/2026,
111,14.4,gf,0.177,mm,OK,--,3:15:22 PM,4/11/2026,
112,13.7,gf,0.178,mm,OK,--,3:15:22 PM,4/11/2026,
113,14.8,gf,0.180,mm,OK,--,3:15:22 PM,4/11/2026,
114,14.7,gf,0.181,mm,OK,--,3:15:22 PM,4/11/2026,
115,15.0,gf,0.183,mm,OK,--,3:15:22 PM,4/11/2026,
116,14.6,gf,0.185,mm,OK,--,3:15:22 PM,4/11/2026,
117,14.5,gf,0.186,mm,OK,--,3:15:22 PM,4/11/2026,
118,14.7,gf,0.188,mm,OK,--,3:15:22 PM,4/11/2026,
119,15.2,gf,0.189,mm,OK,--,3:15:22 PM,4/11/2026,
120,15.4,gf,0.191,mm,OK,--,3:15:22 PM,4/11/2026,
121,15.0,gf,0.193,mm,OK,--,3:15:22 PM,4/11/2026,
122,15.6,gf,0.194,mm,OK,--,3:15:22 PM,4/11/2026,
123,16.2,gf,0.196,mm,OK,--,3:15:22 PM,4/11/2026,
124,16.4,gf,0.197,mm,OK,--,3:15:22 PM,4/11/2026,
125,16.2,gf,0.199,mm,OK,--,3:15:22 PM,4/11/2026,
126,15.9,gf,0.200,mm,OK,--,3:15:22 PM,4/11/2026,
127,15.8,gf,0.202,mm,OK,--,3:15:22 PM,4/11/2026,
128,16.9,gf,0.204,mm,OK,--,3:15:22 PM,4/11/2026,
129,16.3,gf,0.205,mm,OK,--,3:15:22 PM,4/11/2026,
