Maximum,118.0,@,No.1136,,,,,,
Minimum,-0.1,@,No.1,,,,,,
Average,42.0,,,,,,,,
Data Quantity,160,,,,,,,,
Number of NG,0,,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date,
1,1.0,gf,0.010,mm,OK,--,,,
2,2.8,gf,0.020,mm,OK,--,,,
3,4.6,gf,0.030,mm,OK,--,,,
4,6.4,gf,0.040,mm,OK,--,,,
5,8.2,gf,0.050,mm,OK,--,,,
6,10.0,gf,0.060,mm,OK,--,,,
7,11.8,gf,0.070,mm,OK,--,,,
8,13.6,gf,0.080,mm,OK,--,,,
9,15.4,gf,0.090,mm,OK,--,,,
10,17.2,gf,0.100,mm,OK,--,,,
11,19.0,gf,0.110,mm,OK,--,,,
12,20.8,gf,0.120,mm,OK,--,,,
13,22.6,gf,0.130,mm,OK,--,,,
14,24.4,gf,0.140,mm,OK,--,,,
15,26.2,gf,0.150,mm,OK,--,,,
16,28.0,gf,0.160,mm,OK,--,,,
17,29.8,gf,0.170,mm,OK,--,,,
18,31.6,gf,0.180,mm,OK,--,,,
19,33.4,gf,0.190,mm,OK,--,,,
20,35.2,gf,0.200,mm,OK,--,,,
21,37.0,gf,0.210,mm,OK,--,,,
22,38.8,gf,0.220,mm,OK,--,,,
23,40.6,gf,0.230,mm,OK,--,,,
24,42.4,gf,0.240,mm,OK,--,,,
25,44.2,gf,0.250,mm,OK,--,,,
26,46.0,gf,0.260,mm,OK,--,,,
27,47.8,gf,0.270,mm,OK,--,,,
28,49.6,gf,0.280,mm,OK,--,,,
29,51.4,gf,0.290,mm,OK,--,,,
30,53.2,gf,0.300,mm,OK,--,,,
31,55.0,gf,0.310,mm,OK,--,,,
32,54.6,gf,0.320,mm,OK,--,,,
33,54.1,gf,0.330,mm,OK,--,,,
34,53.7,gf,0.340,mm,OK,--,,,
35,53.2,gf,0.350,mm,OK,--,,,
36,52.8,gf,0.360,mm,OK,--,,,
37,52.4,gf,0.370,mm,OK,--,,,
38,51.9,gf,0.380,mm,OK,--,,,
39,51.5,gf,0.390,mm,OK,--,,,
40,51.0,gf,0.400,mm,OK,--,,,
41,50.6,gf,0.410,mm,OK,--,,,
42,50.2,gf,0.420,mm,OK,--,,,
43,49.7,gf,0.430,mm,OK,--,,,
44,49.3,gf,0.440,mm,OK,--,,,
45,48.8,gf,0.450,mm,OK,--,,,
46,48.4,gf,0.460,mm,OK,--,,,
47,48.0,gf,0.470,mm,OK,--,,,
48,47.5,gf,0.480,mm,OK,--,,,
49,47.1,gf,0.490,mm,OK,--,,,
50,46.6,gf,0.500,mm,OK,--,,,
51,46.2,gf,0.510,mm,OK,--,,,
52,45.8,gf,0.520,mm,OK,--,,,
53,45.3,gf,0.530,mm,OK,--,,,
54,44.9,gf,0.540,mm,OK,--,,,
55,44.4,gf,0.550,mm,OK,--,,,
56,44.0,gf,0.560,mm,OK,--,,,
57,43.6,gf,0.570,mm,OK,--,,,
58,43.1,gf,0.580,mm,OK,--,,,
59,42.7,gf,0.590,mm,OK,--,,,
60,42.2,gf,0.600,mm,OK,--,,,
61,41.8,gf,0.610,mm,OK,--,,,
62,41.4,gf,0.620,mm,OK,--,,,
63,40.9,gf,0.630,mm,OK,--,,,
64,40.5,gf,0.640,mm,OK,--,,,
65,40.0,gf,0.650,mm,OK,--,,,
66,39.6,gf,0.660,mm,OK,--,,,
67,39.2,gf,0.670,mm,OK,--,,,
68,38.7,gf,0.680,mm,OK,--,,,
69,38.3,gf,0.690,mm,OK,--,,,
70,37.8,gf,0.700,mm,OK,--,,,
71,37.4,gf,0.710,mm,OK,--,,,
72,37.0,gf,0.720,mm,OK,--,,,
73,36.5,gf,0.730,mm,OK,--,,,
74,36.1,gf,0.740,mm,OK,--,,,
75,35.6,gf,0.750,mm,OK,--,,,
76,35.2,gf,0.760,mm,OK,--,,,
77,34.8,gf,0.770,mm,OK,--,,,
78,34.3,gf,0.780,mm,OK,--,,,
79,33.9,gf,0.790,mm,OK,--,,,
80,33.4,gf,0.800,mm,OK,--,,,
81,33.0,gf,0.810,mm,OK,--,,,
82,34.1,gf,0.860,mm,OK,--,,,
83,35.2,gf,0.910,mm,OK,--,,,
84,36.4,gf,0.960,mm,OK,--,,,
85,37.5,gf,1.010,mm,OK,--,,,
86,38.6,gf,1.060,mm,OK,--,,,
